EventName,Country,Location,Year,StartTime,lat,lon,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,surface_pressure,wind_speed_10m,wind_gusts_10m,wind_direction_10m,condition,is_wet,track_air_delta
Mexico City Grand Prix,Mexico,Mexico City,2023,2023-10-29 20:00:00+00:00,19.402,-99.091,24.5,24.5,35,7.9,0.0,0.0,0.0,0.0,0,1,785.9,10.4,24.8,270,Clear sky,False,
São Paulo Grand Prix,Brazil,São Paulo,2023,2023-11-05 17:00:00+00:00,-23.702,-46.698,20.5,20.0,73,15.4,0.1,0.1,0.0,0.0,51,45,932.2,20.1,36.7,144,Light drizzle,False,
Las Vegas Grand Prix,United States,Las Vegas,2023,2023-11-19 06:00:00+00:00,36.116,-115.168,13.6,10.0,61,6.2,0.0,0.0,0.0,0.0,0,5,938.8,18.0,27.0,206,Clear sky,False,
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2023,2023-11-26 13:00:00+00:00,24.471,54.601,27.2,26.4,45,14.4,0.0,0.0,0.0,0.0,0,0,1014.1,15.6,28.4,322,Clear sky,False,
Bahrain Grand Prix,Bahrain,Sakhir,2024,2024-03-02 15:00:00+00:00,26.031,50.512,18.2,15.3,41,4.8,0.0,0.0,0.0,0.0,3,99,1016.6,11.5,19.1,46,Overcast,False,
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2024,2024-03-09 17:00:00+00:00,21.632,39.104,24.0,24.7,72,18.6,0.0,0.0,0.0,0.0,0,0,1012.8,17.6,29.9,345,Clear sky,False,
Australian Grand Prix,Australia,Melbourne,2024,2024-03-24 04:00:00+00:00,-37.846,144.97,21.2,19.3,42,7.8,0.0,0.0,0.0,0.0,2,64,1020.8,13.2,32.4,241,Partly cloudy,False,
Japanese Grand Prix,Japan,Suzuka,2024,2024-04-07 05:00:00+00:00,34.844,136.534,21.2,22.0,53,11.2,0.0,0.0,0.0,0.0,2,68,1010.4,7.6,19.8,135,Partly cloudy,False,
Chinese Grand Prix,China,Shanghai,2024,2024-04-21 07:00:00+00:00,31.34,121.221,20.0,19.9,64,13.1,0.0,0.0,0.0,0.0,3,100,1010.3,8.0,19.1,342,Overcast,False,
Miami Grand Prix,United States,Miami,2024,2024-05-05 20:00:00+00:00,25.958,-80.239,28.0,29.2,59,19.2,0.1,0.1,0.0,0.0,51,15,1015.2,20.5,42.5,112,Light drizzle,False,
Emilia Romagna Grand Prix,Italy,Imola,2024,2024-05-19 13:00:00+00:00,44.341,11.713,23.2,24.9,57,14.1,0.1,0.1,0.0,0.0,51,43,1004.7,3.5,14.4,66,Light drizzle,False,
Monaco Grand Prix,Monaco,Monaco,2024,2024-05-26 13:00:00+00:00,43.737,7.429,20.6,23.1,77,16.4,0.0,0.0,0.0,0.0,3,89,1018.3,8.3,25.9,182,Overcast,False,
Canadian Grand Prix,Canada,Montréal,2024,2024-06-09 18:00:00+00:00,45.506,-73.525,16.0,14.1,77,12.1,2.2,2.2,0.0,0.0,61,97,995.9,17.9,42.8,261,Slight rain,True,
Spanish Grand Prix,Spain,Barcelona,2024,2024-06-23 13:00:00+00:00,41.569,2.259,22.1,23.6,73,17.0,0.3,0.3,0.0,0.0,51,52,1000.8,15.6,33.5,187,Light drizzle,True,
Austrian Grand Prix,Austria,Spielberg,2024,2024-06-30 13:00:00+00:00,47.223,14.761,28.8,29.3,37,12.7,0.0,0.0,0.0,0.0,2,60,932.1,13.8,40.0,227,Partly cloudy,False,
British Grand Prix,United Kingdom,Silverstone,2024,2024-07-07 14:00:00+00:00,52.072,-1.017,16.1,13.7,64,9.4,0.1,0.1,0.0,0.0,51,94,990.6,17.8,35.6,249,Light drizzle,False,
Hungarian Grand Prix,Hungary,Budapest,2024,2024-07-21 13:00:00+00:00,47.583,19.25,27.8,28.9,53,17.4,0.0,0.0,0.0,0.0,3,86,984.1,10.2,22.7,219,Overcast,False,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2024,2024-07-28 13:00:00+00:00,50.436,5.971,19.4,18.8,62,11.9,0.0,0.0,0.0,0.0,3,100,982.5,8.7,20.9,330,Overcast,False,
Dutch Grand Prix,Netherlands,Zandvoort,2024,2024-08-25 13:00:00+00:00,52.389,4.541,17.5,13.6,67,11.3,0.0,0.0,0.0,0.0,0,17,1019.7,31.3,42.1,235,Clear sky,False,
Italian Grand Prix,Italy,Monza,2024,2024-09-01 13:00:00+00:00,45.621,9.29,28.5,31.0,56,19.0,0.0,0.0,0.0,0.0,3,100,993.6,5.9,25.9,346,Overcast,False,
Azerbaijan Grand Prix,Azerbaijan,Baku,2024,2024-09-15 11:00:00+00:00,40.369,49.842,26.2,22.2,26,5.4,0.0,0.0,0.0,0.0,0,0,1016.2,23.0,41.8,17,Clear sky,False,
Singapore Grand Prix,Singapore,Singapore,2024,2024-09-22 12:00:00+00:00,1.291,103.859,29.1,33.9,79,25.0,0.0,0.0,0.0,0.0,0,18,1005.3,14.0,21.6,89,Clear sky,False,
United States Grand Prix,United States,Austin,2024,2024-10-20 19:00:00+00:00,30.135,-97.633,28.5,27.9,31,9.9,0.0,0.0,0.0,0.0,0,0,1005.8,12.5,27.7,72,Clear sky,False,
Mexico City Grand Prix,Mexico,Mexico City,2024,2024-10-27 20:00:00+00:00,19.402,-99.091,20.8,20.0,50,9.9,0.0,0.0,0.0,0.0,2,54,789.8,11.6,23.4,309,Partly cloudy,False,
São Paulo Grand Prix,Brazil,São Paulo,2024,2024-11-03 15:30:00+00:00,-23.702,-46.698,21.1,22.4,87,18.9,0.9,0.9,0.0,0.0,53,100,931.7,13.9,27.0,54,Moderate drizzle,True,
Las Vegas Grand Prix,United States,Las Vegas,2024,2024-11-24 06:00:00+00:00,36.116,-115.168,16.4,12.4,54,6.9,0.0,0.0,0.0,0.0,0,0,934.7,21.8,48.2,212,Clear sky,False,
Qatar Grand Prix,Qatar,Lusail,2024,2024-12-01 16:00:00+00:00,25.49,51.454,19.5,16.8,59,11.3,0.0,0.0,0.0,0.0,0,0,1015.2,20.8,33.1,307,Clear sky,False,
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2024,2024-12-08 13:00:00+00:00,24.471,54.601,26.2,25.3,48,14.5,0.0,0.0,0.0,0.0,0,0,1016.8,16.3,28.4,343,Clear sky,False,
Australian Grand Prix,Australia,Melbourne,2025,2025-03-16 04:00:00+00:00,-37.846,144.97,16.5,13.6,79,12.8,1.6,1.6,0.0,0.0,61,100,1010.1,26.1,60.5,236,Slight rain,True,
Chinese Grand Prix,China,Shanghai,2025,2025-03-23 07:00:00+00:00,31.34,121.221,27.8,23.5,18,1.2,0.0,0.0,0.0,0.0,1,24,1010.3,19.7,47.5,247,Mainly clear,False,
Japanese Grand Prix,Japan,Suzuka,2025,2025-04-06 05:00:00+00:00,34.844,136.534,14.7,13.1,80,11.4,0.5,0.5,0.0,0.0,53,28,1007.4,14.1,31.0,76,Moderate drizzle,True,
Bahrain Grand Prix,Bahrain,Sakhir,2025,2025-04-13 15:00:00+00:00,26.031,50.512,25.1,25.2,61,17.0,0.0,0.0,0.0,0.0,0,16,1008.1,16.5,36.4,349,Clear sky,False,
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2025,2025-04-20 17:00:00+00:00,21.632,39.104,28.8,31.8,59,20.0,0.0,0.0,0.0,0.0,0,0,1007.5,5.7,16.6,314,Clear sky,False,
Miami Grand Prix,United States,Miami,2025,2025-05-04 20:00:00+00:00,25.958,-80.239,27.0,30.8,67,20.2,0.0,0.0,0.0,0.0,2,65,1012.0,0.7,16.2,14,Partly cloudy,False,
Emilia Romagna Grand Prix,Italy,Imola,2025,2025-05-18 13:00:00+00:00,44.341,11.713,21.8,19.9,47,10.1,0.0,0.0,0.0,0.0,1,27,1008.4,17.4,34.6,225,Mainly clear,False,
Monaco Grand Prix,Monaco,Monaco,2025,2025-05-25 13:00:00+00:00,43.737,7.429,22.1,22.4,48,10.6,0.0,0.0,0.0,0.0,1,34,1016.8,9.7,31.3,177,Mainly clear,False,
Spanish Grand Prix,Spain,Barcelona,2025,2025-06-01 13:00:00+00:00,41.569,2.259,28.9,32.0,52,18.0,0.0,0.0,0.0,0.0,3,98,1003.1,9.6,28.1,140,Overcast,False,
Canadian Grand Prix,Canada,Montréal,2025,2025-06-15 18:00:00+00:00,45.506,-73.525,25.4,25.1,19,0.2,0.0,0.0,0.0,0.0,0,0,1018.5,4.4,20.5,35,Clear sky,False,
Austrian Grand Prix,Austria,Spielberg,2025,2025-06-29 13:00:00+00:00,47.223,14.761,31.5,32.5,30,11.7,0.0,0.0,0.0,0.0,2,66,943.6,4.2,16.9,329,Partly cloudy,False,
British Grand Prix,United Kingdom,Silverstone,2025,2025-07-06 14:00:00+00:00,52.072,-1.017,19.4,18.8,70,13.8,2.4,2.4,0.0,0.0,61,21,987.9,12.4,35.6,318,Slight rain,True,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2025,2025-07-27 13:00:00+00:00,50.436,5.971,17.3,17.8,86,14.9,0.1,0.1,0.0,0.0,51,100,969.4,7.9,22.3,333,Light drizzle,False,
Hungarian Grand Prix,Hungary,Budapest,2025,2025-08-03 13:00:00+00:00,47.583,19.25,24.0,23.5,47,12.1,0.0,0.0,0.0,0.0,3,100,989.7,12.2,33.1,301,Overcast,False,
Dutch Grand Prix,Netherlands,Zandvoort,2025,2025-08-31 13:00:00+00:00,52.389,4.541,20.4,19.9,69,14.5,0.0,0.0,0.0,0.0,3,100,1006.4,13.5,18.0,226,Overcast,False,
Italian Grand Prix,Italy,Monza,2025,2025-09-07 13:00:00+00:00,45.621,9.29,25.1,26.7,52,14.5,0.0,0.0,0.0,0.0,2,58,996.7,6.0,19.4,213,Partly cloudy,False,
Azerbaijan Grand Prix,Azerbaijan,Baku,2025,2025-09-21 11:00:00+00:00,40.369,49.842,18.8,15.7,66,12.2,0.0,0.0,0.0,0.0,3,100,1020.0,25.7,60.1,353,Overcast,False,
Singapore Grand Prix,Singapore,Singapore,2025,2025-10-05 12:00:00+00:00,1.291,103.859,27.8,33.4,83,24.5,0.0,0.0,0.0,0.0,3,84,1008.7,5.8,20.5,194,Overcast,False,
United States Grand Prix,United States,Austin,2025,2025-10-19 19:00:00+00:00,30.135,-97.633,28.7,25.5,20,3.5,0.0,0.0,0.0,0.0,0,0,1001.0,20.1,41.4,34,Clear sky,False,
Mexico City Grand Prix,Mexico,Mexico City,2025,2025-10-26 20:00:00+00:00,19.402,-99.091,26.9,26.8,20,2.3,0.0,0.0,0.0,0.0,0,1,788.0,4.4,22.3,238,Clear sky,False,
São Paulo Grand Prix,Brazil,São Paulo,2025,2025-11-09 17:00:00+00:00,-23.702,-46.698,18.9,18.3,72,13.8,0.0,0.0,0.0,0.0,2,79,933.5,15.4,38.2,147,Partly cloudy,False,
Las Vegas Grand Prix,United States,Las Vegas,2025,2025-11-23 04:00:00+00:00,36.116,-115.168,12.3,9.6,58,4.2,0.0,0.0,0.0,0.0,3,80,940.2,8.9,19.8,331,Overcast,False,
Qatar Grand Prix,Qatar,Lusail,2025,2025-11-30 16:00:00+00:00,25.49,51.454,22.3,22.9,71,16.9,0.0,0.0,0.0,0.0,0,0,1016.2,12.5,19.1,319,Clear sky,False,
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2025,2025-12-07 13:00:00+00:00,24.471,54.601,26.4,26.3,56,16.9,0.0,0.0,0.0,0.0,0,0,1016.3,16.6,30.6,345,Clear sky,False,
