Year,EventName,Country,Location,StartTime,lat,lon,wet_at_start_confirmed
2021,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18 13:00:00+00:00,44.341,11.713,True
2021,Portuguese Grand Prix,Portugal,Portimão,2021-05-02 14:00:00+00:00,37.232,-8.628,False
2021,Spanish Grand Prix,Spain,Barcelona,2021-05-09 13:00:00+00:00,41.569,2.259,False
2021,Monaco Grand Prix,Monaco,Monaco,2021-05-23 13:00:00+00:00,43.737,7.429,False
2021,Azerbaijan Grand Prix,Azerbaijan,Baku,2021-06-06 12:00:00+00:00,40.369,49.842,False
2021,French Grand Prix,France,Le Castellet,2021-06-20 13:00:00+00:00,43.253,5.791,False
2021,Styrian Grand Prix,Austria,Spielberg,2021-06-27 13:00:00+00:00,47.223,14.761,False
2021,Austrian Grand Prix,Austria,Spielberg,2021-07-04 13:00:00+00:00,47.223,14.761,False
2021,British Grand Prix,Great Britain,Silverstone,2021-07-18 14:00:00+00:00,52.072,-1.017,False
2021,Hungarian Grand Prix,Hungary,Budapest,2021-08-01 13:00:00+00:00,47.583,19.25,True
2021,Belgian Grand Prix,Belgium,Spa-Francorchamps,2021-08-29 13:00:00+00:00,50.436,5.971,True
2021,Dutch Grand Prix,Netherlands,Zandvoort,2021-09-05 13:00:00+00:00,52.389,4.541,False
2021,Italian Grand Prix,Italy,Monza,2021-09-12 13:00:00+00:00,45.621,9.29,False
2021,Russian Grand Prix,Russia,Sochi,2021-09-26 12:00:00+00:00,43.407,39.96,False
2021,Turkish Grand Prix,Turkey,Istanbul,2021-10-10 12:00:00+00:00,40.958,29.412,True
2021,United States Grand Prix,United States,Austin,2021-10-24 19:00:00+00:00,30.135,-97.633,False
2021,Mexico City Grand Prix,Mexico,Mexico City,2021-11-07 19:00:00+00:00,19.402,-99.091,False
2021,São Paulo Grand Prix,Brazil,São Paulo,2021-11-14 17:00:00+00:00,-23.702,-46.698,False
2021,Qatar Grand Prix,Qatar,Lusail,2021-11-21 14:00:00+00:00,25.49,51.454,False
2021,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2021-12-05 17:30:00+00:00,21.632,39.104,False
2021,Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2021-12-12 13:00:00+00:00,24.471,54.601,False
2022,Bahrain Grand Prix,Bahrain,Sakhir,2022-03-20 15:00:00+00:00,26.031,50.512,False
2022,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2022-03-27 17:00:00+00:00,21.632,39.104,False
2022,Australian Grand Prix,Australia,Melbourne,2022-04-10 05:00:00+00:00,-37.846,144.97,False
2022,Emilia Romagna Grand Prix,Italy,Imola,2022-04-24 13:00:00+00:00,44.341,11.713,True
2022,Miami Grand Prix,United States,Miami,2022-05-08 19:30:00+00:00,25.958,-80.239,False
2022,Spanish Grand Prix,Spain,Barcelona,2022-05-22 13:00:00+00:00,41.569,2.259,False
2022,Monaco Grand Prix,Monaco,Monaco,2022-05-29 13:00:00+00:00,43.737,7.429,True
2022,Azerbaijan Grand Prix,Azerbaijan,Baku,2022-06-12 11:00:00+00:00,40.369,49.842,False
2022,Canadian Grand Prix,Canada,Montréal,2022-06-19 18:00:00+00:00,45.506,-73.525,False
2022,British Grand Prix,Great Britain,Silverstone,2022-07-03 14:00:00+00:00,52.072,-1.017,False
2022,Austrian Grand Prix,Austria,Spielberg,2022-07-10 13:00:00+00:00,47.223,14.761,False
2022,French Grand Prix,France,Le Castellet,2022-07-24 13:00:00+00:00,43.253,5.791,False
2022,Hungarian Grand Prix,Hungary,Budapest,2022-07-31 13:00:00+00:00,47.583,19.25,False
2022,Belgian Grand Prix,Belgium,Spa-Francorchamps,2022-08-28 13:00:00+00:00,50.436,5.971,False
2022,Dutch Grand Prix,Netherlands,Zandvoort,2022-09-04 13:00:00+00:00,52.389,4.541,False
