EventName,Country,Location,StartTime,Year,lon,lat
Hungarian Grand Prix,Hungary,Budapest,2021-08-01 13:00:00,2021,19.25,47.583
Belgian Grand Prix,Belgium,Spa-Francorchamps,2021-08-29 13:00:00,2021,5.971,50.436
Dutch Grand Prix,Netherlands,Zandvoort,2021-09-05 13:00:00,2021,4.541,52.389
Italian Grand Prix,Italy,Monza,2021-09-12 13:00:00,2021,9.29,45.621
Russian Grand Prix,Russia,Sochi,2021-09-26 12:00:00,2021,39.96,43.407
Turkish Grand Prix,Turkey,Istanbul,2021-10-10 12:00:00,2021,29.412,40.958
United States Grand Prix,United States,Austin,2021-10-24 19:00:00,2021,-97.633,30.135
Mexico City Grand Prix,Mexico,Mexico City,2021-11-07 19:00:00,2021,-99.091,19.402
São Paulo Grand Prix,Brazil,São Paulo,2021-11-14 17:00:00,2021,-46.698,-23.702
Qatar Grand Prix,Qatar,Lusail,2021-11-21 14:00:00,2021,51.454,25.49
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2021-12-05 17:30:00,2021,39.104,21.632
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2021-12-12 13:00:00,2021,54.601,24.471
Bahrain Grand Prix,Bahrain,Sakhir,2022-03-20 15:00:00,2022,50.512,26.031
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2022-03-27 17:00:00,2022,39.104,21.632
Australian Grand Prix,Australia,Melbourne,2022-04-10 05:00:00,2022,144.97,-37.846
Emilia Romagna Grand Prix,Italy,Imola,2022-04-24 13:00:00,2022,11.713,44.341
Miami Grand Prix,United States,Miami,2022-05-08 19:30:00,2022,-80.239,25.958
Spanish Grand Prix,Spain,Barcelona,2022-05-22 13:00:00,2022,2.259,41.569
Monaco Grand Prix,Monaco,Monaco,2022-05-29 13:00:00,2022,7.429,43.737
Azerbaijan Grand Prix,Azerbaijan,Baku,2022-06-12 11:00:00,2022,49.842,40.369
Canadian Grand Prix,Canada,Montréal,2022-06-19 18:00:00,2022,-73.525,45.506
British Grand Prix,Great Britain,Silverstone,2022-07-03 14:00:00,2022,-1.017,52.072
Austrian Grand Prix,Austria,Spielberg,2022-07-10 13:00:00,2022,14.761,47.223
French Grand Prix,France,Le Castellet,2022-07-24 13:00:00,2022,5.791,43.253
Hungarian Grand Prix,Hungary,Budapest,2022-07-31 13:00:00,2022,19.25,47.583
Belgian Grand Prix,Belgium,Spa-Francorchamps,2022-08-28 13:00:00,2022,5.971,50.436
Dutch Grand Prix,Netherlands,Zandvoort,2022-09-04 13:00:00,2022,4.541,52.389
Italian Grand Prix,Italy,Monza,2022-09-11 13:00:00,2022,9.29,45.621
Singapore Grand Prix,Singapore,Singapore,2022-10-02 12:00:00,2022,103.859,1.291
Japanese Grand Prix,Japan,Suzuka,2022-10-09 05:00:00,2022,136.534,34.844
United States Grand Prix,United States,Austin,2022-10-23 19:00:00,2022,-97.633,30.135
Mexico City Grand Prix,Mexico,Mexico City,2022-10-30 20:00:00,2022,-99.091,19.402
São Paulo Grand Prix,Brazil,São Paulo,2022-11-13 18:00:00,2022,-46.698,-23.702
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2022-11-20 13:00:00,2022,54.601,24.471
Bahrain Grand Prix,Bahrain,Sakhir,2023-03-05 15:00:00,2023,50.512,26.031
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2023-03-19 17:00:00,2023,39.104,21.632
Australian Grand Prix,Australia,Melbourne,2023-04-02 05:00:00,2023,144.97,-37.846
Azerbaijan Grand Prix,Azerbaijan,Baku,2023-04-30 11:00:00,2023,49.842,40.369
Miami Grand Prix,United States,Miami,2023-05-07 19:30:00,2023,-80.239,25.958
Monaco Grand Prix,Monaco,Monaco,2023-05-28 13:00:00,2023,7.429,43.737
Spanish Grand Prix,Spain,Barcelona,2023-06-04 13:00:00,2023,2.259,41.569
Canadian Grand Prix,Canada,Montréal,2023-06-18 18:00:00,2023,-73.525,45.506
Austrian Grand Prix,Austria,Spielberg,2023-07-02 13:00:00,2023,14.761,47.223
